No,PREGUNTA ,N° Respuesta,Respuesta,Es correcto,Cargo,Temas,Familia ,Fecha,CARGO 2,CANAL
14,Pregunta de única respuesta. La institución educativa “Academia Digital” quiere controlar el tiempo que los estudiantes pasan en dispositivos durante el horario escolar. ¿Qué función de Norton PyMEs permite establecer límites y supervisar el uso de los equipos?,3.0,Navegación web segura,FALSO,TMK fijo,Internet + Norton,Seguridad,,TMK fijo,PYME
15,"Pregunta de única respuesta. “Servicios Integrales SAS” opera con laptops, tablets y celulares en sus procesos administrativos y comerciales. ¿Qué ventaja de Norton PyMEs asegura que todos estos dispositivos estén protegidos bajo una misma solución?",1.0,Supervisión web,FALSO,TMK fijo,Internet + Norton,Seguridad,,TMK fijo,PYME
15,"Pregunta de única respuesta. “Servicios Integrales SAS” opera con laptops, tablets y celulares en sus procesos administrativos y comerciales. ¿Qué ventaja de Norton PyMEs asegura que todos estos dispositivos estén protegidos bajo una misma solución?",2.0,Compatible con todos los dispositivos,VERDADERO,TMK fijo,Internet + Norton,Seguridad,,TMK fijo,PYME
15,"Pregunta de única respuesta. “Servicios Integrales SAS” opera con laptops, tablets y celulares en sus procesos administrativos y comerciales. ¿Qué ventaja de Norton PyMEs asegura que todos estos dispositivos estén protegidos bajo una misma solución?",3.0,Configuración de niveles de restricción,FALSO,TMK fijo,Internet + Norton,Seguridad,,TMK fijo,PYME
1,"Pregunta de única respuesta. En Banco Andino, la analista de riesgos recibe un SMS con un enlace que aparenta ser de la Superintendencia Financiera. El mensaje le indica que debe actualizar sus credenciales de acceso. Al dar clic, Lookout bloquea el acceso porque identificó el sitio como fraudulento. ¿Que funcionalidad de Lookout actuó en dicha amenaza?",1.0,Detección de phishing en móviles.,VERDADERO,Directos,Linea Segura Loockout,Seguridad,,Agentes,PYME
1,"Pregunta de única respuesta. En Banco Andino, la analista de riesgos recibe un SMS con un enlace que aparenta ser de la Superintendencia Financiera. El mensaje le indica que debe actualizar sus credenciales de acceso. Al dar clic, Lookout bloquea el acceso porque identificó el sitio como fraudulento. ¿Que funcionalidad de Lookout actuó en dicha amenaza?",2.0,Consola de administrador para reasignación de licencias,FALSO,Directos,Linea Segura Loockout,Seguridad,,Agentes,PYME
1,"Pregunta de única respuesta. En Banco Andino, la analista de riesgos recibe un SMS con un enlace que aparenta ser de la Superintendencia Financiera. El mensaje le indica que debe actualizar sus credenciales de acceso. Al dar clic, Lookout bloquea el acceso porque identificó el sitio como fraudulento. ¿Que funcionalidad de Lookout actuó en dicha amenaza?",3.0,Detección de root o jailbreak.,FALSO,Directos,Linea Segura Loockout,Seguridad,,Agentes,PYME
2,"Pregunta de única respuesta.La empresa Ventas Globales tiene ejecutivos que trabajan en movilidad. Uno de ellos, en plena reunión con un cliente, se conecta a la red wifi gratuita del café donde se encontraban. Minutos después, su dispositivo comienza a mostrar comportamientos extraños y se detecta tráfico no autorizado hacia un servidor externo.
¿Qué riesgo se materializó?
¿Qué riesgo se materializó?",1.0,Uso de aplicaciones con SDK vulnerable.,FALSO,Directos,Linea Segura Loockout,Seguridad,,Agentes,PYME
2,"Pregunta de única respuesta.La empresa Ventas Globales tiene ejecutivos que trabajan en movilidad. Uno de ellos, en plena reunión con un cliente, se conecta a la red wifi gratuita del café donde se encontraban. Minutos después, su dispositivo comienza a mostrar comportamientos extraños y se detecta tráfico no autorizado hacia un servidor externo.
¿Qué riesgo se materializó?
¿Qué riesgo se materializó?",2.0,Conexión a redes WiFi inseguras o maliciosas.,VERDADERO,Directos,Linea Segura Loockout,Seguridad,,Agentes,PYME
2,"Pregunta de única respuesta.La empresa Ventas Globales tiene ejecutivos que trabajan en movilidad. Uno de ellos, en plena reunión con un cliente, se conecta a la red wifi gratuita del café donde se encontraban. Minutos después, su dispositivo comienza a mostrar comportamientos extraños y se detecta tráfico no autorizado hacia un servidor externo.
¿Qué riesgo se materializó?
¿Qué riesgo se materializó?",3.0,Instalación de un certificado raíz en su móvil.,FALSO,Directos,Linea Segura Loockout,Seguridad,,Agentes,PYME
3,"Pregunta de única respuesta.En Retail Express, un empleado descarga una aplicación de entretenimiento “gratuita” desde una tienda no oficial. La app comienza a consumir batería y datos de manera anómala. Lookout detecta que se trata de un malware diseñado para robar información del correo corporativo.
¿Qué tipo de amenaza fue detectada?
¿Qué tipo de amenaza fue detectada?",1.0,Escalación de privilegios por jailbreak remoto.,FALSO,Directos,Linea Segura Loockout,Seguridad,,Agentes,PYME
3,"Pregunta de única respuesta.En Retail Express, un empleado descarga una aplicación de entretenimiento “gratuita” desde una tienda no oficial. La app comienza a consumir batería y datos de manera anómala. Lookout detecta que se trata de un malware diseñado para robar información del correo corporativo.
¿Qué tipo de amenaza fue detectada?
¿Qué tipo de amenaza fue detectada?",2.0,Páginas web con contenido inadecuado.,FALSO,Directos,Linea Segura Loockout,Seguridad,,Agentes,PYME
3,"Pregunta de única respuesta.En Retail Express, un empleado descarga una aplicación de entretenimiento “gratuita” desde una tienda no oficial. La app comienza a consumir batería y datos de manera anómala. Lookout detecta que se trata de un malware diseñado para robar información del correo corporativo.
¿Qué tipo de amenaza fue detectada?
¿Qué tipo de amenaza fue detectada?",3.0,Aplicaciones maliciosas como spyware o troyanos,VERDADERO,Directos,Linea Segura Loockout,Seguridad,,Agentes,PYME
4,Pregunta de única respuesta. Transportes Urbanos otorga smartphones corporativos a sus conductores. El área de TI descubre que varios de ellos realizaron manipulación de los sistemas operativos  para instalar aplicaciones no autorizadas que ponen en riesgo la seguridad de la información y del GPS corporativo. Lookout emite alertas y bloquea el acceso a recursos internos hasta que se corrija la manipulación. ¿Qué detectó la herramienta lookout?,1.0,Root o jailbreak en los dispositivos.,VERDADERO,Directos,Linea Segura Loockout,Seguridad,,Agentes,PYME
4,Pregunta de única respuesta. Transportes Urbanos otorga smartphones corporativos a sus conductores. El área de TI descubre que varios de ellos realizaron manipulación de los sistemas operativos  para instalar aplicaciones no autorizadas que ponen en riesgo la seguridad de la información y del GPS corporativo. Lookout emite alertas y bloquea el acceso a recursos internos hasta que se corrija la manipulación. ¿Qué detectó la herramienta lookout?,2.0,Malware tipo riskware.,FALSO,Directos,Linea Segura Loockout,Seguridad,,Agentes,PYME
4,Pregunta de única respuesta. Transportes Urbanos otorga smartphones corporativos a sus conductores. El área de TI descubre que varios de ellos realizaron manipulación de los sistemas operativos  para instalar aplicaciones no autorizadas que ponen en riesgo la seguridad de la información y del GPS corporativo. Lookout emite alertas y bloquea el acceso a recursos internos hasta que se corrija la manipulación. ¿Qué detectó la herramienta lookout?,3.0,Vulnerabilidades de protocolos de red.,FALSO,Directos,Linea Segura Loockout,Seguridad,,Agentes,PYME
5,"Pregunta de única respuesta. En Comunicaciones Alfa, un administrador de TI observa que algunos empleados, a pesar de recibir alertas, ignoran las notificaciones de apps maliciosas y siguen conectándose a redes inseguras. Para reforzar la seguridad, el administrador decide bloquear el acceso a sistemas internos a los dispositivos que no cumplan con los estándares de seguridad. ¿Qué se debe configurar en Lookout?",1.0,Restricción de conexiones a puertos USB.,FALSO,Directos,Linea Segura Loockout,Seguridad,,Agentes,PYME
5,"Pregunta de única respuesta. En Comunicaciones Alfa, un administrador de TI observa que algunos empleados, a pesar de recibir alertas, ignoran las notificaciones de apps maliciosas y siguen conectándose a redes inseguras. Para reforzar la seguridad, el administrador decide bloquear el acceso a sistemas internos a los dispositivos que no cumplan con los estándares de seguridad. ¿Qué se debe configurar en Lookout?",2.0,Políticas de seguridad y acceso basado en riesgos.,VERDADERO,Directos,Linea Segura Loockout,Seguridad,,Agentes,PYME
5,"Pregunta de única respuesta. En Comunicaciones Alfa, un administrador de TI observa que algunos empleados, a pesar de recibir alertas, ignoran las notificaciones de apps maliciosas y siguen conectándose a redes inseguras. Para reforzar la seguridad, el administrador decide bloquear el acceso a sistemas internos a los dispositivos que no cumplan con los estándares de seguridad. ¿Qué se debe configurar en Lookout?",3.0,Eliminación automática de aplicaciones en la Play Store.,FALSO,Directos,Linea Segura Loockout,Seguridad,,Agentes,PYME
6,"Pregunta de única respuesta. Una empresa de contabilidad con 10 empleados trabaja con información sensible de sus clientes. El gerente comenta que recientemente recibieron correos sospechosos y que algunos colaboradores acceden a redes sociales desde los equipos de trabajo.
¿Cuál sería el argumento más acertado para recomendar Internet Seguro a esta empresa?
¿Cuál sería el argumento más acertado para recomendar Internet Seguro a esta empresa?",1.0,Para permitir el acceso a redes sociales y aumentar la productividad,FALSO,Directos,Internet seguro,Seguridad,,Agentes,PYME
6,"Pregunta de única respuesta. Una empresa de contabilidad con 10 empleados trabaja con información sensible de sus clientes. El gerente comenta que recientemente recibieron correos sospechosos y que algunos colaboradores acceden a redes sociales desde los equipos de trabajo.
¿Cuál sería el argumento más acertado para recomendar Internet Seguro a esta empresa?
¿Cuál sería el argumento más acertado para recomendar Internet Seguro a esta empresa?",2.0,Para proteger la red corporativa de accesos no autorizados y controlar la navegación,VERDADERO,Directos,Internet seguro,Seguridad,,Agentes,PYME
6,"Pregunta de única respuesta. Una empresa de contabilidad con 10 empleados trabaja con información sensible de sus clientes. El gerente comenta que recientemente recibieron correos sospechosos y que algunos colaboradores acceden a redes sociales desde los equipos de trabajo.
¿Cuál sería el argumento más acertado para recomendar Internet Seguro a esta empresa?
¿Cuál sería el argumento más acertado para recomendar Internet Seguro a esta empresa?",3.0,Para mejorar la velocidad de conexión a internet,FALSO,Directos,Internet seguro,Seguridad,,Agentes,PYME
7,"Pregunta de única respuesta. Un cliente con servicio de internet empresarial sobre FTTX solicita contratar Internet Seguro. El consultor verifica que el cliente no tiene IP fija aprovisionada.
¿Qué debe hacer el consultor antes de continuar con la digitación del servicio?
¿Qué debe hacer el consultor antes de continuar con la digitación del servicio?",1.0,Solicitar preventa para validar la factibilidad,FALSO,Directos,Internet seguro,Seguridad,,Agentes,PYME
7,"Pregunta de única respuesta. Un cliente con servicio de internet empresarial sobre FTTX solicita contratar Internet Seguro. El consultor verifica que el cliente no tiene IP fija aprovisionada.
¿Qué debe hacer el consultor antes de continuar con la digitación del servicio?
¿Qué debe hacer el consultor antes de continuar con la digitación del servicio?",2.0,Continuar con la venta y asignar la IP después,FALSO,Directos,Internet seguro,Seguridad,,Agentes,PYME
7,"Pregunta de única respuesta. Un cliente con servicio de internet empresarial sobre FTTX solicita contratar Internet Seguro. El consultor verifica que el cliente no tiene IP fija aprovisionada.
¿Qué debe hacer el consultor antes de continuar con la digitación del servicio?
¿Qué debe hacer el consultor antes de continuar con la digitación del servicio?",3.0,Asegurar que se aprovisione la IP fija en el servicio de internet antes de digitar,VERDADERO,Directos,Internet seguro,Seguridad,,Agentes,PYME
8,"Pregunta de única respuesta. Una agencia de publicidad tiene 25 empleados, trabaja con clientes internacionales y requiere conexiones remotas seguras. Además, han tenido incidentes de malware en el pasado.
¿Cuál plan de Internet Seguro se ajusta mejor a sus necesidades?
¿Cuál plan de Internet Seguro se ajusta mejor a sus necesidades?",1.0,"Básico, porque no tiene reglas de firewall y VPN",FALSO,Directos,Internet seguro,Seguridad,,Agentes,PYME
8,"Pregunta de única respuesta. Una agencia de publicidad tiene 25 empleados, trabaja con clientes internacionales y requiere conexiones remotas seguras. Además, han tenido incidentes de malware en el pasado.
¿Cuál plan de Internet Seguro se ajusta mejor a sus necesidades?
¿Cuál plan de Internet Seguro se ajusta mejor a sus necesidades?",2.0,"Intermedio, porque no incluye filtrado de navegación",FALSO,Directos,Internet seguro,Seguridad,,Agentes,PYME
